Date,Price,Open,High,Low,Vol.,Change %
22-10-2020,24.709,25.18,24.46,24.46,52.73K,-2.11%
21-10-2020,25.241,24.795,24.775,24.775,74.44K,1.04%
20-10-2020,24.98,24.485,24.405,24.405,77.69K,1.14%
19-10-2020,24.698,24.29,24.215,24.215,57.37K,1.96%
15-10-2020,24.224,24.37,23.65,23.65,50.59K,-0.70%
14-10-2020,24.395,24.24,23.93,23.93,72.42K,1.10%
13-10-2020,24.129,25.24,24.015,24.015,63.47K,-4.52%
12-10-2020,25.271,25.28,24.905,24.905,94.21K,5.84%
08-10-2020,23.876,23.925,23.775,23.775,74.75K,-0.08%
07-10-2020,23.896,23.16,23.09,23.09,46.73K,-0.10%
06-10-2020,23.921,24.52,22.965,22.965,59.07K,-2.60%
05-10-2020,24.56,24.075,23.805,23.805,72.23K,1.26%
01-10-2020,24.254,23.355,23.325,23.325,66.34K,3.23%
30-09-2020,23.494,24.505,23.235,23.235,71.45K,-3.89%
29-09-2020,24.445,23.805,23.51,23.51,90.77K,3.70%
28-09-2020,23.572,23.14,22.79,22.79,79.19K,1.77%
24-09-2020,23.162,22.94,21.82,21.82,92.92K,0.40%
23-09-2020,23.069,24.15,22.745,22.745,159.01K,-5.79%
22-09-2020,24.488,25.145,24.15,24.15,151.99K,0.54%
21-09-2020,24.356,26.79,24.385,24.385,109.44K,-10.01%
17-09-2020,27.066,27,26.61,26.61,53.09K,-1.37%
16-09-2020,27.443,27.455,27.455,27.455,95.31K,0.05%
15-09-2020,27.429,27.22,27.22,27.22,63.70K,0.44%
14-09-2020,27.31,27.115,27.115,27.115,60.45K,0.22%
10-09-2020,27.249,27.19,27.19,27.19,60.57K,0.77%
09-09-2020,27.041,27.15,27.15,27.15,86.96K,0.35%
08-09-2020,26.947,27.04,25.985,25.985,60.07K,0.44%
03-09-2020,26.828,27.19,26.635,26.635,114.60K,-1.88%
02-09-2020,27.343,28.3,27.41,27.41,125.57K,-4.31%
01-09-2020,28.575,28.75,28.155,28.155,126.39K,0.16%
31-08-2020,28.53,28.23,28.23,28.23,115.76K,5.32%
27-08-2020,27.09,27.695,26.63,26.63,103.77K,-1.54%
26-08-2020,27.514,26.615,26.225,26.225,131.42K,4.50%
25-08-2020,26.328,26.845,26.23,26.23,137.13K,-1.25%
24-08-2020,26.661,26.865,26.41,26.41,100.45K,-1.95%
20-08-2020,27.192,26.805,26.725,26.725,160.04K,-0.70%
19-08-2020,27.385,28.075,26.585,26.585,153.75K,-2.60%
18-08-2020,28.115,27.57,27.375,27.375,212.26K,1.44%
17-08-2020,27.717,26.76,26.115,26.115,213.36K,-0.16%
13-08-2020,27.762,25.715,25.715,25.715,223.22K,6.68%
12-08-2020,26.023,25.2,23.665,23.665,245.90K,-0.30%
11-08-2020,26.1,29.275,24.725,24.725,241.93K,-10.95%
10-08-2020,29.311,28.26,28.175,28.175,355.28K,2.95%
06-08-2020,28.47,27.15,27.145,27.145,283.92K,5.63%
05-08-2020,26.953,26.53,25.925,25.925,236.12K,3.30%
04-08-2020,26.091,24.57,24.57,24.57,212.52K,6.47%
03-08-2020,24.505,24.48,24.3,24.3,157.04K,4.50%
30-07-2020,23.45,24.735,23.28,23.28,139.82K,-3.58%
29-07-2020,24.321,24.58,23.435,23.435,154.86K,0.09%
28-07-2020,24.3,24.7,22.46,22.46,138.90K,-0.82%
27-07-2020,24.501,22.97,22.94,22.94,253.67K,6.58%
23-07-2020,22.988,23.405,22.475,22.475,111.99K,-0.67%
22-07-2020,23.144,21.7,21.68,21.68,182.28K,7.36%
21-07-2020,21.557,20.34,20.315,20.315,202.39K,6.76%
20-07-2020,20.192,19.765,19.655,19.655,142.78K,3.16%
16-07-2020,19.573,19.82,19.475,19.475,56.42K,-0.95%
15-07-2020,19.761,19.645,19.525,19.525,54.37K,1.18%
14-07-2020,19.53,19.455,19.24,19.24,58.39K,-1.30%
13-07-2020,19.788,19.08,19.08,19.08,73.78K,4.36%
09-07-2020,18.962,19.15,18.83,18.83,62.08K,-1.04%
08-07-2020,19.161,18.625,18.585,18.585,102.76K,2.47%
07-07-2020,18.699,18.585,18.235,18.235,84.23K,0.63%
06-07-2020,18.582,18.27,18.245,18.245,71.67K,1.42%
02-07-2020,18.322,18.285,17.995,17.995,63.13K,0.57%
01-07-2020,18.218,18.58,18.095,18.095,49.86K,-2.25%
30-06-2020,18.637,18.095,18.02,18.02,86.82K,3.17%
29-06-2020,18.064,18.11,17.935,17.935,75.09K,0.53%
25-06-2020,17.968,17.635,17.56,17.56,41.65K,1.32%
24-06-2020,17.734,18.23,17.6,17.6,46.32K,-2.32%
23-06-2020,18.155,17.94,17.9,17.9,71.47K,0.91%
22-06-2020,17.992,18.04,17.88,17.88,75.91K,2.22%
18-06-2020,17.601,17.75,17.57,17.57,64.57K,-1.45%
17-06-2020,17.86,17.8,17.725,17.725,47.76K,0.70%
16-06-2020,17.735,17.665,17.55,17.55,43.10K,1.44%
15-06-2020,17.484,17.635,17.125,17.125,65.04K,-2.70%
11-06-2020,17.97,18.36,17.83,17.83,60.63K,0.48%
10-06-2020,17.884,18.03,17.845,17.845,90.45K,-0.07%
09-06-2020,17.896,17.92,17.83,17.83,88.22K,-0.55%
08-06-2020,17.995,17.635,17.635,17.635,54.90K,-0.67%
04-06-2020,18.116,17.86,17.86,17.86,87.12K,0.57%
03-06-2020,18.013,18.295,17.765,17.765,56.56K,-1.65%
02-06-2020,18.315,18.85,18.4,18.4,72.24K,-2.94%
01-06-2020,18.869,18.74,18.685,18.685,78.44K,4.78%
28-05-2020,18.009,17.855,17.775,17.775,64.04K,1.42%
27-05-2020,17.757,17.56,17.225,17.225,61.04K,0.92%
26-05-2020,17.595,17.63,17.37,17.37,65.07K,1.33%
21-05-2020,17.364,18.055,17.26,17.26,51.24K,-3.70%
20-05-2020,18.031,17.875,17.755,17.755,74.68K,0.73%
19-05-2020,17.901,17.37,17.34,17.34,62.49K,2.48%
18-05-2020,17.468,17.225,17.125,17.125,66.69K,8.12%
14-05-2020,16.156,15.755,15.66,15.66,80.68K,3.09%
13-05-2020,15.671,15.625,15.545,15.545,52.22K,-0.24%
12-05-2020,15.709,15.7,15.525,15.525,42.56K,0.18%
11-05-2020,15.68,15.755,15.51,15.51,35.61K,0.58%
07-05-2020,15.59,14.92,14.92,14.92,58.81K,3.83%
06-05-2020,15.015,15.115,14.84,14.84,49.27K,-0.63%
05-05-2020,15.11,14.845,14.76,14.76,38.73K,2.12%
04-05-2020,14.796,15.075,14.76,14.76,32.04K,-1.18%
30-04-2020,14.973,15.53,14.85,14.85,32.19K,-2.23%
29-04-2020,15.315,15.33,15.235,15.235,66.67K,0.36%
28-04-2020,15.26,15.375,15.025,15.025,42.10K,-0.25%
27-04-2020,15.299,15.475,15.24,15.24,28.28K,-0.53%
23-04-2020,15.381,15.35,15.31,15.31,39.19K,0.14%
22-04-2020,15.359,15.085,14.875,14.875,47.87K,3.08%
21-04-2020,14.9,15.61,14.7,14.7,42.94K,-4.72%
20-04-2020,15.638,15.38,15.38,15.38,68.55K,-0.05%
16-04-2020,15.646,15.625,15.625,15.625,41.18K,0.75%
15-04-2020,15.529,16.09,15.6,15.6,43.47K,-3.87%
14-04-2020,16.154,15.81,15.81,15.81,51.17K,3.81%
13-04-2020,15.561,16,15.47,15.47,63.63K,2.18%
08-04-2020,15.229,15.28,15.155,15.155,64.32K,-1.77%
07-04-2020,15.504,15.65,15.265,15.265,43.34K,2.05%
06-04-2020,15.193,14.655,14.645,14.645,69.75K,3.51%
02-04-2020,14.678,14.585,14.575,14.575,38.18K,4.78%
01-04-2020,14.008,14.175,14.175,14.175,55.52K,-1.21%
31-03-2020,14.18,14.105,14.105,14.105,44.03K,0.17%
30-03-2020,14.156,14.73,13.995,13.995,50.96K,-3.54%
26-03-2020,14.676,14.77,14.4,14.4,54.39K,-1.32%
25-03-2020,14.873,14.415,14.205,14.205,52.83K,4.32%
24-03-2020,14.257,13.32,13.22,13.22,78.77K,7.51%
